STATION_ID,STATION_NAME,AVG_POP
4,College Park,3.26125
4,College Park,4.15375
4,College Park,4.597777777777776
4,College Park,5.493333333333331
4,College Park,6.409999999999998
4,College Park,7.344444444444442
4,College Park,8.251111111111108
4,College Park,10.131249999999996
4,College Park,10.993749999999995
5,East Point,0.72
5,East Point,1.28375
5,East Point,1.9962499999999999
5,East Point,2.74
5,East Point,3.47125
5,East Point,3.7733333333333343
5,East Point,4.5133333333333345
5,East Point,5.177777777777779
5,East Point,5.901111111111112
5,East Point,6.664444444444445
5,East Point,8.25375
5,East Point,8.987500000000002
6,Lakewood,0.4471428571428571
6,Lakewood,0.8212499999999999
6,Lakewood,1.2512499999999995
6,Lakewood,1.69125
6,Lakewood,2.15
6,Lakewood,2.3855555555555563
6,Lakewood,2.8800000000000003
6,Lakewood,3.293333333333334
6,Lakewood,3.7933333333333343
6,Lakewood,4.276666666666668
6,Lakewood,5.253750000000003
6,Lakewood,5.665000000000003
7,Oakland City,0.5185714285714287
7,Oakland City,0.96625
7,Oakland City,1.48
7,Oakland City,1.9812499999999997
7,Oakland City,2.5412499999999993
7,Oakland City,2.805555555555555
7,Oakland City,3.3277777777777775
7,Oakland City,3.8966666666666665
7,Oakland City,4.458888888888889
7,Oakland City,5.07111111111111
7,Oakland City,6.232499999999998
7,Oakland City,6.759999999999997
8,West End,0.6814285714285715
8,West End,1.2887500000000003
8,West End,2.0300000000000002
8,West End,2.7662500000000003
8,West End,3.5275
8,West End,3.9311111111111114
8,West End,4.700000000000001
8,West End,5.504444444444447
8,West End,6.320000000000003
8,West End,7.131111111111115
8,West End,8.780000000000003
8,West End,9.503750000000002
9,Indian Creek,0.4566666666666667
9,Indian Creek,0.805
9,Indian Creek,1.2612500000000002
9,Indian Creek,1.7250000000000003
9,Indian Creek,2.4571428571428577
9,Indian Creek,2.358888888888889
9,Indian Creek,2.817777777777778
9,Indian Creek,3.306666666666667
9,Indian Creek,3.806666666666667
9,Indian Creek,4.308888888888889
9,Indian Creek,5.2975
9,Indian Creek,5.67875
20,Doraville,0.8171428571428571
